,epoch,train_loss,wire_train_acc,wire_train_f1,terminal_train_acc,terminal_train_f1,action_train_acc,action_train_f1,val_loss,wire_val_acc,wire_val_f1,terminal_val_acc,terminal_val_f1,action_val_acc,action_val_f1
0,0,2.4060155685991047,0.44375,0.4467649371069182,0.94375,0.9439225585238515,0.3625,0.5321100917431193,0.03708212971687317,0.8,0.7973707664884134,1.0,1.0,0.525,0.6885245901639344
1,1,2.3683125842362642,0.36875,0.3692196400091137,0.96875,0.9683164885141335,0.3875,0.5585585585585585,0.03533198833465576,0.8,0.7973707664884134,1.0,1.0,0.525,0.6885245901639344
2,2,2.2773899704217913,0.45625,0.45385889473046104,0.975,0.9750399133011758,0.375,0.5454545454545454,0.0381436824798584,0.8,0.7973707664884134,1.0,1.0,0.5,0.6666666666666666
3,3,2.280207133665681,0.4375,0.43943730851347296,0.95625,0.9559664742462279,0.34375,0.5116279069767442,0.034865695238113406,0.8,0.8023109243697479,1.0,1.0,0.5,0.6666666666666666
4,4,2.1589740429073574,0.525,0.527552294197031,0.9625,0.9623210653920207,0.34375,0.5116279069767442,0.026138144731521606,0.8,0.7994847258005152,1.0,1.0,0.55,0.7096774193548387
5,5,2.227369948104024,0.4875,0.48586926060443003,0.95625,0.9562836162982158,0.36875,0.5388127853881278,0.034104150533676145,0.775,0.7740120228106497,1.0,1.0,0.45,0.6206896551724138
6,6,2.0890919331461193,0.6125,0.6127945212845547,0.96875,0.9690442745938436,0.3875,0.5585585585585585,0.027939510345458985,0.8,0.8071265284423179,1.0,1.0,0.475,0.6440677966101694
7,7,2.2810736924409865,0.5375,0.5392162306926507,0.9625,0.961904664901971,0.35,0.5185185185185185,0.03223751485347748,0.8,0.8068860877684407,1.0,1.0,0.5,0.6666666666666666
8,8,2.102977931126952,0.54375,0.5478014093701271,0.95,0.9492347830137554,0.325,0.49056603773584906,0.02497560828924179,0.75,0.7531550802139038,1.0,1.0,0.575,0.7301587301587301
9,9,2.072568849287927,0.59375,0.5918669089903721,0.95,0.9498037638030141,0.3375,0.5046728971962616,0.028769612312316895,0.75,0.7531550802139038,1.0,1.0,0.475,0.6440677966101694
