,epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
0,0,0.5258828874008031,0.73125,0.72546992481203,0.012351161986589431,1.0,1.0
1,1,0.5717260029756289,0.7875,0.7799173187842622,0.006095976009964943,1.0,1.0
2,2,0.6029069282023556,0.70625,0.6969247914248528,0.010987983644008636,1.0,1.0
3,3,0.5645943607793015,0.7125,0.6752648177572343,0.014671619236469268,1.0,1.0
4,4,0.46422070508458546,0.775,0.7661691819315665,0.01303299367427826,1.0,1.0
5,5,0.5207861421295092,0.75,0.7297732371523187,0.014335401356220245,1.0,1.0
6,6,0.5319290058687329,0.75,0.7462814169097862,0.012843585014343262,1.0,1.0
7,7,0.5235938203267324,0.7375,0.7239556277056277,0.014094458520412445,1.0,1.0
8,8,0.49067790606131895,0.7625,0.7530762463289805,0.012086153030395508,1.0,1.0
9,9,0.4585645858445787,0.8,0.7856984542017436,0.01231127828359604,1.0,1.0
10,10,0.46121269723780645,0.7625,0.7451651405398196,0.01370266079902649,1.0,1.0
11,11,0.5765698446099122,0.73125,0.7167480667480668,0.01284720003604889,1.0,1.0
12,12,0.4281597335335391,0.76875,0.7479070052754263,0.015176540613174439,1.0,1.0
13,13,0.673466384888161,0.7625,0.7519232010650868,0.012325052917003632,1.0,1.0
14,14,0.4798961253752282,0.775,0.7690318627450979,0.012566442787647247,1.0,1.0
15,15,0.46752296926297277,0.75,0.7235753342994872,0.015137809514999389,1.0,1.0
16,16,0.5301994050172653,0.70625,0.6735709377516073,0.010837633162736893,1.0,1.0
17,17,0.3968528491349389,0.81875,0.8107457274931601,0.011099733412265778,1.0,1.0
18,18,0.46083963346890683,0.79375,0.7843788280930992,0.013002201914787292,1.0,1.0
19,19,0.5562962077278826,0.70625,0.6884744721147646,0.01436355710029602,1.0,1.0
20,20,0.4834479439793256,0.74375,0.7292327786377708,0.012832120060920715,1.0,1.0
21,21,0.4323782484570529,0.8,0.7893361760847208,0.014847967028617858,1.0,1.0
22,22,0.41154108556083885,0.8,0.7844098883572568,0.01652422845363617,1.0,1.0
23,23,0.4224237208524414,0.80625,0.7978155062530063,0.010307836532592773,1.0,1.0
24,24,0.5415654459335656,0.74375,0.7345578789047125,0.017818732559680937,0.0,0.0
25,25,0.4706036730706842,0.7625,0.7407845534879179,0.013188442587852478,1.0,1.0
26,26,0.5521652196739524,0.7625,0.747486449122005,0.018261545896530153,0.0,0.0
27,27,0.47097839553107407,0.7625,0.7597178882438316,0.017848601937294005,0.0,0.0
28,28,0.4142518866523403,0.8125,0.8069001229213519,0.016629281640052795,1.0,1.0
29,29,0.43096837913844865,0.78125,0.7757803622854997,0.015557116270065308,1.0,1.0
30,30,0.37262842809973334,0.8125,0.7918442209115486,0.017452502250671388,0.0,0.0
31,31,0.4230922282525171,0.8,0.7961369115724093,0.014512014389038087,1.0,1.0
32,32,0.38754952512481394,0.8125,0.8041721630270123,0.017370323836803436,0.0,0.0
33,33,0.4170855307742386,0.7875,0.775584770027401,0.015048161149024963,1.0,1.0
34,34,0.3985370466326458,0.79375,0.7858218487903621,0.01678672432899475,1.0,1.0
35,35,0.4613317470079208,0.8,0.7877464133406639,0.015400689840316773,1.0,1.0
36,36,0.3967452348131701,0.825,0.8172187298517087,0.017877350747585296,0.0,0.0
37,37,0.4296069093538108,0.7625,0.7532852564102563,0.016786180436611176,1.0,1.0
38,38,0.4563741799688842,0.775,0.766950567282249,0.015201379358768464,1.0,1.0
39,39,0.4201618900865924,0.7875,0.7815654442329725,0.015424340963363647,1.0,1.0
40,40,0.34794201573314754,0.825,0.8021882445564767,0.013644616305828094,1.0,1.0
41,41,0.4583234919405513,0.75625,0.7446949457101222,0.019810789823532106,0.0,0.0
42,42,0.3931053604085356,0.8,0.7805907125862038,0.015982016921043396,1.0,1.0
43,43,0.3679997191699044,0.79375,0.7868256608768176,0.015053074061870574,1.0,1.0
44,44,0.38180396783381515,0.8,0.7714545384437846,0.014880630373954772,1.0,1.0
45,45,0.37129342334096266,0.8,0.7862981090522945,0.012046030163764954,1.0,1.0
46,46,0.39381704526200567,0.8375,0.8204781313580615,0.02076709419488907,0.0,0.0
47,47,0.3386579164863683,0.83125,0.8266774973294592,0.01871427446603775,0.0,0.0
48,48,0.37185160863784433,0.80625,0.8050314972480219,0.01799120903015137,0.0,0.0
49,49,0.3687830601517817,0.7875,0.7720775462962963,0.019278010725975035,0.0,0.0
50,50,0.4046491461523539,0.81875,0.8162536973882158,0.017956918478012084,0.0,0.0
51,51,0.3286305503688993,0.83125,0.8211879519517866,0.01796814948320389,0.0,0.0
52,52,0.40991123564289056,0.81875,0.8164952904676257,0.018305529654026032,0.0,0.0
53,53,0.3635458150148949,0.825,0.8142724722252266,0.015324833989143371,1.0,1.0
54,54,0.4060509865949056,0.75625,0.7442569155135643,0.018179167807102204,0.0,0.0
55,55,0.34628962150149967,0.85,0.8454609757552574,0.013302752375602722,1.0,1.0
56,56,0.3374416854247791,0.825,0.8106165779187047,0.021726875007152556,0.0,0.0
57,57,0.3454512359578404,0.79375,0.7864877622377622,0.021162177622318267,0.0,0.0
58,58,0.3413462822464098,0.8375,0.8370049588806042,0.019899389147758482,0.0,0.0
59,59,0.3366537127040168,0.83125,0.8219641739793608,0.015478497743606568,1.0,1.0
60,60,0.4274003160840373,0.7875,0.7819365578455129,0.017688605189323425,0.0,0.0
61,61,0.31250231407522866,0.825,0.8084529256475108,0.018726132810115814,0.0,0.0
62,62,0.390206103828611,0.8125,0.8065912077093653,0.009258691221475601,1.0,1.0
63,63,0.3246920305632238,0.85,0.8455507520332318,0.012750744819641113,1.0,1.0
64,64,0.3693638585848375,0.80625,0.8041249116292117,0.01771383136510849,0.0,0.0
65,65,0.3636648281977312,0.81875,0.8113787662500898,0.019478093087673187,0.0,0.0
66,66,0.44090011643646676,0.775,0.7691902067893416,0.016973710060119628,1.0,1.0
67,67,0.3146505747603675,0.85,0.8468543402552398,0.019906361401081086,0.0,0.0
68,68,0.29575709724685845,0.83125,0.8256710608880041,0.017694799602031706,0.0,0.0
69,69,0.30418338318393584,0.875,0.8728382799998322,0.018009401857852936,0.0,0.0
70,70,0.3589222829825445,0.81875,0.8163758793039616,0.019539842009544374,0.0,0.0
71,71,0.3029328506712723,0.81875,0.8145244493911855,0.021410197019577026,0.0,0.0
72,72,0.33222913333101467,0.85625,0.8570892817147626,0.01529790461063385,1.0,1.0
73,73,0.3511226915211784,0.8125,0.810472762913691,0.018505972623825074,0.0,0.0
74,74,0.3442891336571374,0.83125,0.8284151243363229,0.018243561685085296,0.0,0.0
75,75,0.42078914393621697,0.78125,0.7789903986014524,0.0596520721912384,0.0,0.0
76,76,0.3274572548672358,0.86875,0.8618754949875955,0.02023932635784149,0.0,0.0
77,77,0.3201713771540736,0.8375,0.8362573099415205,0.019506260752677917,0.0,0.0
78,78,0.3551345592032495,0.7875,0.7827244411897183,0.021570417284965514,0.0,0.0
79,79,0.30704477246285483,0.85,0.8485724174989224,0.019513043761253356,0.0,0.0
80,80,0.3331765780373942,0.825,0.8119791666666668,0.02336323857307434,0.0,0.0
81,81,0.2914913845131818,0.83125,0.8323597599417125,0.01940229833126068,0.0,0.0
82,82,0.2633865754512573,0.88125,0.8783101065281917,0.02005080282688141,0.0,0.0
