,epoch,train_loss,wire_train_acc,wire_train_f1,wire_train_loss,action_train_acc,action_train_f1,action_train_loss,val_loss,wire_val_acc,wire_val_loss,wire_val_f1,action_val_acc,action_val_f1,action_val_loss
0,0,7.333578294320392,0.85,0.8442806603773585,0.5978473934117572,0.3875,0.3931162862872422,6.735730895367811,3.805029968707822,0.8,0.578044981011044,0.7963207547169812,0.475,0.4947677203065134,1.6134924881509505
1,1,3.6417791172401848,0.8125,0.8081751054852321,0.5254295804616319,0.43125,0.4363379078483245,3.1163495316641274,2.6873948288965037,0.825,0.4295073255081661,0.8184636118598382,0.45,0.44631016042780747,1.1289437419676687
2,2,3.073645422697882,0.85,0.8493333333333334,0.49161578361125746,0.48125,0.4779676140984253,2.582029627726297,2.4292516380315647,0.825,0.36800351422280075,0.8184636118598382,0.475,0.4570545609548168,1.0306240595760756
3,3,2.883059597662941,0.85,0.8418402777777778,0.3973868450216969,0.4375,0.44105072560062564,2.485672760284797,2.3968895660014824,0.825,0.3618278533220291,0.8142969451931716,0.475,0.4483031674208145,1.0175308563397265
4,4,2.6438827105255767,0.88125,0.8732713560334527,0.3507779694330225,0.5125,0.5099404537549607,2.2931047318892523,2.4382941726304126,0.825,0.42599165527972216,0.8279874213836479,0.45,0.43838149294805645,1.0061512568820035
5,5,2.4938999040208727,0.86875,0.8671052214186018,0.3210400987538776,0.49375,0.49222000606839433,2.172859808818248,2.3749369590659626,0.85,0.39988915148423987,0.8517969451931716,0.5,0.46461023433763754,0.9875239044020419
6,6,2.6411154806944976,0.86875,0.8688983921402252,0.379114852885737,0.45,0.45150066844919784,2.262000635066579,2.3519567876355723,0.85,0.33982722237706187,0.854895104895105,0.5,0.47410806427834284,1.0060647844919004
7,7,2.5128666740861263,0.85625,0.8504933040555194,0.3154973056710901,0.4625,0.4521967966626397,2.197369358038577,2.401876405137591,0.875,0.3599977390142158,0.8772686433063791,0.5,0.46461023433763754,1.0209393368451856
8,8,2.402436860487069,0.8625,0.8605982743306688,0.292085180998528,0.50625,0.49211652621528507,2.110351687226648,2.416003630158957,0.85,0.36888963766396043,0.854895104895105,0.475,0.47540509259259256,1.0235569956887047
9,9,2.483836011413041,0.8625,0.8565730647709321,0.3318198615488427,0.49375,0.4776890899299337,2.1520161390411885,2.3763332902104595,0.85,0.3579395537264645,0.854895104895105,0.475,0.46521298174442194,1.0091968736902346
10,10,2.398884149819787,0.86875,0.8654213865472427,0.3169039866476851,0.49375,0.4906619226638024,2.0819801527934034,2.4289634564192966,0.875,0.35997214522212745,0.8770624303232999,0.5,0.4756467697644169,1.0344956528977491
11,11,2.5063529057686535,0.88125,0.8812641999350861,0.3452193928949782,0.45,0.44489162457912457,2.161133520144722,2.378565995534882,0.85,0.344648315384984,0.854895104895105,0.5,0.46130952380952384,1.0169588410062715
12,12,2.3212660713819786,0.875,0.8731397076443805,0.3267637108933741,0.5375,0.5229032258064515,1.9945023611886428,2.4375638305908067,0.875,0.36273326287046076,0.8785531135531135,0.525,0.497882326007326,1.037415294337552
13,13,2.2619598836302885,0.89375,0.8933934526944005,0.27582716779137967,0.5125,0.49115835976354266,1.9861327151432762,2.3550052905338816,0.875,0.35724715404212476,0.8785531135531135,0.6,0.5768965517241379,0.99887906954973
14,14,2.367784515738458,0.875,0.8727096935945035,0.32439917937599605,0.51875,0.508204465051458,2.0433853368907875,2.316693455775385,0.85,0.35082235746085644,0.854895104895105,0.55,0.5027847152847154,0.9829355430105352
15,15,2.324293159102763,0.86875,0.8672708333333334,0.30809658361013137,0.4875,0.46828524933804055,2.0161965779640925,2.3799230448843445,0.875,0.3931264148355694,0.8772686433063791,0.55,0.5475980541197932,0.9933983158291084
16,16,2.3309337399776267,0.86875,0.8652148460367639,0.3258571254037804,0.50625,0.49682122849139654,2.005076607676892,2.411770516927936,0.85,0.38885552864521744,0.85,0.425,0.421875,1.0114574895778787
17,17,2.281429020617361,0.86875,0.8673455954422936,0.2848755942111893,0.50625,0.4827528006040175,1.9965534271897922,2.3322708582622,0.85,0.3554354813415557,0.85,0.5,0.48187499999999994,0.9884176875522825
18,18,2.286247930417585,0.8875,0.8845461658841941,0.29478353733879886,0.475,0.4617112542185863,1.9914643970530506,2.4608698492258556,0.875,0.4217598776274826,0.8772686433063791,0.475,0.42175438596491227,1.0195549863085034
19,19,2.266057224130287,0.875,0.8748219373219375,0.3056005422988619,0.54375,0.5325633304170934,1.9604566862117792,2.349910411640303,0.825,0.35452518770471214,0.8279874213836479,0.5,0.46130952380952384,0.9976926120143617
20,20,2.1992339281457305,0.86875,0.8674288085255067,0.30211324122310546,0.5375,0.514827717057759,1.8971206847670317,2.341410152016033,0.85,0.37627046736888586,0.854895104895105,0.475,0.4361538461538462,0.9825698365260905
21,21,2.3096977344351046,0.88125,0.8804601105845181,0.3186167318857912,0.5125,0.4920615291571174,1.9910809988724225,2.3018058792004013,0.875,0.3960555726662278,0.8817924528301887,0.55,0.4991853632478632,0.9528751604382706
22,22,2.251947250049534,0.89375,0.8920288010111953,0.31386521345521035,0.50625,0.4858380155775839,1.9380820218659665,2.3793520177452594,0.85,0.415214909799397,0.854895104895105,0.575,0.5558634133225786,0.9820685540660634
23,23,2.2623791413052574,0.8875,0.8874149750712252,0.31919542476368223,0.53125,0.5052460911008889,1.9431837030357315,2.2800843818637078,0.85,0.37568550733849404,0.854895104895105,0.55,0.5405952380952381,0.9521994318143697
24,24,2.2475598836218977,0.8375,0.8323836708315382,0.3540186244645156,0.575,0.5670949352666168,1.893541263592806,2.348019255930558,0.85,0.3827571697533131,0.8542105263157893,0.525,0.4690740740740741,0.9826310442062095
25,25,2.163893206705916,0.825,0.8220112414899768,0.331631743754042,0.55,0.51957388425254,1.832261464101839,2.431865353122703,0.825,0.36449924670159817,0.8333333333333333,0.45,0.43129800307219657,1.0336830597298103
26,26,2.185477776831976,0.8875,0.885606569794734,0.25881030073724104,0.51875,0.497358834337042,1.9266674683494784,2.4653607692569492,0.775,0.39275971744209526,0.7911739130434783,0.425,0.4061539035676967,1.0363005256280302
27,27,2.187208109758285,0.86875,0.8694823109380072,0.27830676858433206,0.55625,0.5405495323129251,1.9089013391541811,2.277957922148198,0.85,0.3509642606135458,0.8542105263157893,0.5,0.44728070175438595,0.9634968369839043
28,28,2.191719881665608,0.875,0.8701325718241607,0.2889051552946853,0.5375,0.5163814931121048,1.9028147245167701,2.2599655257188713,0.825,0.3569714122451842,0.8333333333333333,0.5,0.4700187969924812,0.9514970623713452
29,29,2.1390027522924355,0.8625,0.8630385550154662,0.30230262882091663,0.525,0.5030432117607673,1.8367001243750565,2.299385315003383,0.825,0.3885382173350081,0.8279874213836479,0.475,0.475,0.9554235606503425
30,30,2.2316291409540043,0.88125,0.8786660206718346,0.3255986106918499,0.5125,0.4851064489287603,1.9060305229383574,2.4652952054995696,0.825,0.34638057337142525,0.8313207547169812,0.45,0.4004032258064516,1.059457304818352
31,31,2.064960645398139,0.89375,0.8886217948717949,0.3134452306225285,0.59375,0.5794871642825864,1.751515409981846,2.2491725490326644,0.825,0.3666863146005198,0.8278947368421052,0.525,0.5068681318681318,0.9412431236771226
32,32,2.0910556252608785,0.8875,0.8822115384615385,0.27382361694636187,0.60625,0.5833296944904088,1.8172320145676621,2.4010642232879036,0.775,0.39273753645829856,0.7845268542199489,0.4,0.3635606060606061,1.004163342832726
33,33,2.0739845648341344,0.88125,0.8796834796658739,0.3029516966595338,0.58125,0.5618242868242869,1.7710328568172173,2.450627066331799,0.775,0.38808394484221936,0.7845268542199489,0.45,0.4379870129870129,1.0312715583233512
34,34,2.0568436302330895,0.9,0.8980317068422357,0.2635975665477588,0.59375,0.5843038785858359,1.7932460691866083,2.3189140114889595,0.775,0.38534532971680163,0.7845268542199489,0.55,0.5115262321144675,0.9667843440525757
35,35,2.055246852335094,0.8875,0.8859148408972354,0.27590067057918616,0.5875,0.5599823049001815,1.779346181029959,2.3523209206934554,0.85,0.3615121923852712,0.8513207547169811,0.55,0.4895089285714286,0.9954043541190913
36,36,2.1355229396038338,0.88125,0.8722679127725856,0.2979079588170862,0.5625,0.5353478474340709,1.8376149792820797,2.384803918872785,0.85,0.3638909379951656,0.854895104895105,0.5,0.48567201426024953,1.0104564879708051
37,37,2.0015974633123164,0.8875,0.8873816103738971,0.2926556915588662,0.6,0.5818967461340205,1.7089417665924316,2.3327534142888906,0.85,0.3430272582452744,0.854895104895105,0.575,0.539047619047619,0.9948630819100799
38,38,1.9169609164652002,0.9,0.8999333323763379,0.2717474392968427,0.55,0.5285881000127324,1.6452134761792194,2.493560574990988,0.875,0.3646908116294071,0.8772686433063791,0.425,0.4046760807630373,1.0644348934503796
39,39,1.9985211110278556,0.9,0.8988963487723247,0.2625161025752732,0.575,0.5559762150052328,1.7360050087399372,2.3629233581306837,0.875,0.363238161127083,0.8772686433063791,0.475,0.42907407407407405,0.9998425948114346
40,40,1.9086420023254775,0.91875,0.9173427372129523,0.2611485555311329,0.61875,0.5962921890954087,1.6474934525694422,2.557270961575159,0.775,0.3862038874765858,0.7911739130434783,0.425,0.41452380952380946,1.0855335475615902
41,41,2.116520216557197,0.90625,0.9022287735849057,0.2523745114414254,0.54375,0.5220821300880087,1.8641457036687057,2.3272152866993565,0.85,0.37216219850815835,0.854895104895105,0.5,0.46269230769230774,0.9775265453296015
42,42,1.9276680702941404,0.88125,0.878120673147739,0.27698139255562637,0.63125,0.612925297463957,1.6506866754630494,2.474516761162886,0.875,0.35220258825575,0.8772686433063791,0.525,0.4971576711644179,1.0611570823237344
43,43,1.9957911394806331,0.86875,0.8586023523523524,0.30347944808612504,0.59375,0.5758948248192528,1.692311685186786,2.2540373883050053,0.825,0.3776885263767326,0.8327365728900255,0.475,0.4608516483516484,0.9381744272461219
44,44,1.9981887554853563,0.90625,0.9057692307692309,0.2880589047952128,0.5875,0.5680910478410478,1.710129850065463,2.267008498483483,0.775,0.3914851765614003,0.7911739130434783,0.525,0.5021616541353383,0.9377616577712615
45,45,1.8790892898213998,0.925,0.9248391967432251,0.23686970828766576,0.625,0.5947837746282869,1.642219579137577,2.436545428493628,0.85,0.3717998566222377,0.854895104895105,0.55,0.5441073933079543,1.032372773368661
46,46,1.9972505847286128,0.89375,0.892959032145353,0.24503123657229936,0.6125,0.5870037313420597,1.7522193432148243,2.292308850759582,0.775,0.40798182589933274,0.7911739130434783,0.55,0.5105483870967742,0.9421635013939522
47,47,1.9511320713340843,0.8875,0.8854291529830324,0.26182944864855723,0.59375,0.5768704550785831,1.6893026240534688,2.369637062559923,0.775,0.42050258405506613,0.7853333333333332,0.5,0.45959259259259255,0.9745672390661639
48,48,1.9126684560015264,0.9,0.8969551282051282,0.2719914833872735,0.60625,0.5824760498418515,1.6406769702717128,2.4329691587723574,0.8,0.3850355344358832,0.8106666666666668,0.425,0.3871048951048951,1.0239668186176458
49,49,1.904797765771646,0.86875,0.8658242622157715,0.26982868532385285,0.59375,0.5804122126829564,1.634969084775794,2.3979594475675183,0.85,0.38119375173700976,0.854895104895105,0.575,0.558530701754386,1.0083828582936802
50,50,1.892062994347603,0.89375,0.891416650295155,0.23836030395184338,0.5875,0.5744553250099002,1.6537026946886413,2.287181300705561,0.825,0.41160145815229043,0.8327365728900255,0.575,0.558530701754386,0.9377899237155362
51,51,1.9827308942772106,0.9,0.8983480839994925,0.3314258587187503,0.60625,0.5838520985719262,1.6513050309124992,2.3981651778827655,0.825,0.3870972692966461,0.8327365728900255,0.5,0.4574074074074074,1.005533960253524
52,52,1.8511600189656066,0.91875,0.9178734191938418,0.2566244742676645,0.61875,0.602386567834681,1.594535549432044,2.6368907122712697,0.8,0.40096604663413016,0.8129144385026738,0.45,0.4390476190476191,1.1179623349955363
53,53,2.0200195908686225,0.91875,0.9167850710610145,0.2634255783745175,0.6,0.5812725492217298,1.7565940119000232,2.5342971384286557,0.8,0.3962596386671066,0.8062062937062937,0.525,0.4895833333333333,1.0690187487631875
54,54,1.9455292526132133,0.875,0.873271387584768,0.29367974741801317,0.6125,0.593323078131546,1.651849504603323,2.523742093885107,0.85,0.3378490439266898,0.85,0.425,0.395174287856072,1.0929465223074772
55,55,2.0170848608949425,0.85,0.8519170262495506,0.28540853157428503,0.5375,0.5189533223970128,1.7316763297655826,2.3714017590435104,0.85,0.37801094009773806,0.85,0.6,0.5762708333333333,0.9966954075694957
56,56,1.8679356005308818,0.8875,0.885107439508848,0.28200889055445655,0.63125,0.6114735049433325,1.585926716521908,2.657300361846319,0.825,0.3632411032449454,0.8279874213836479,0.425,0.3675395256916996,1.1470296262971715
57,57,1.8120128504650637,0.8875,0.8878205128205128,0.23397523690762795,0.6,0.5768424036281179,1.5780376148361683,2.6177302763471744,0.8,0.39128496212651953,0.8062062937062937,0.475,0.4663235294117648,1.1132226506550977
58,58,1.8807792038297861,0.90625,0.9062938596491227,0.26466990196940965,0.625,0.6125339593235845,1.6161093058869824,2.5119191862138903,0.8,0.3801219069166109,0.8062062937062937,0.525,0.48842857142857143,1.0658986545847255
59,59,1.77804473882466,0.90625,0.9045721178925407,0.24360647964531382,0.63125,0.6189002137948675,1.5344382581945453,2.3831993120630615,0.775,0.4379362616688013,0.7911739130434783,0.625,0.5963345864661654,0.9726315356279429
60,60,1.8014947931617136,0.8875,0.8873857502146976,0.256723429295306,0.65,0.6241793867731368,1.5447713703717674,2.4756325102060144,0.8,0.3941100470721722,0.8062062937062937,0.475,0.4722222222222222,1.0407612334295664
61,61,1.7890523565437177,0.88125,0.8781929402568938,0.2875466626402613,0.6375,0.6237881189613527,1.5015056959090287,2.4351639884796894,0.775,0.3774506128858775,0.7845268542199489,0.5,0.4854166666666666,1.0288566860972423
62,62,1.7705230142115795,0.9,0.8989583333333334,0.2853877761395779,0.64375,0.6408237783237783,1.4851352443346002,2.546389737710251,0.85,0.3958049067623506,0.854895104895105,0.625,0.575,1.0752924101352164
63,63,1.7123091333963767,0.90625,0.9038292253521126,0.21776780694653225,0.55,0.5310839894492455,1.494541323482883,2.5906031656930737,0.875,0.4038634449230358,0.8723923444976076,0.525,0.49805900621118016,1.0933698696975853
64,64,1.8036524563541516,0.86875,0.8663124573171302,0.27834415689244646,0.65,0.6330605779496963,1.5253082999124072,2.588559140247935,0.8,0.36535930176032705,0.8062062937062937,0.425,0.41761904761904767,1.1115999203090041
65,65,1.8071811633094055,0.8875,0.8820513017787899,0.2893721350770647,0.61875,0.6047325217215599,1.5178090340134527,2.3937533854842514,0.825,0.3617979609640315,0.8293617614269788,0.5,0.4833333333333333,1.0159777160436079
66,66,1.8280697026754809,0.90625,0.9038995726495725,0.24913406254979123,0.61875,0.6072811084942031,1.5789356375577939,2.7849319532470416,0.85,0.36738993030739947,0.85,0.55,0.5164565217391305,1.2087709954918182
67,67,1.8132242575021487,0.90625,0.9045721178925407,0.2915520681743146,0.65,0.6401008812615955,1.5216721881263915,2.5589442531444093,0.825,0.39366505210637115,0.8293617614269788,0.45,0.44603174603174606,1.082639600609241
68,68,1.8485897605752846,0.8625,0.8598526766660569,0.2681343910720472,0.6125,0.5889448243582287,1.5804553760079012,2.5226852930077257,0.825,0.3890940496406984,0.8279874213836479,0.525,0.49246794871794874,1.0667956277225585
69,69,1.6622412823771229,0.875,0.8695346320346321,0.2769055452636223,0.63125,0.6269879511880944,1.3853357375589765,2.6158177176417667,0.85,0.338126765816196,0.85,0.475,0.45280017921146953,1.1388454633728542
70,70,1.7849469168988432,0.9125,0.9118411680911682,0.2968383505379677,0.65,0.6469316185195326,1.4881085585166143,2.850391692849803,0.85,0.3798792205692735,0.85,0.45,0.38457181259600615,1.2352562254271446
71,71,1.6505531756505907,0.925,0.9228062700446422,0.2442775840858303,0.66875,0.6600988619046536,1.406275595393551,2.7462177272476764,0.8,0.37334110484225674,0.8062062937062937,0.4,0.3911610129001433,1.1864383051898586
72,72,1.8910667515373063,0.90625,0.9047434793948881,0.22037418407333006,0.61875,0.6053742828773169,1.6706925654913505,2.7897708563599735,0.8,0.3667280862340704,0.8062062937062937,0.375,0.3938888888888889,1.211521390383132
73,73,1.704805041848158,0.9,0.8984010903426791,0.21648243039289597,0.625,0.6114960994547667,1.4883226125020883,2.782125754788285,0.85,0.34113355219888036,0.85,0.55,0.5166666666666667,1.2204960892646342
74,74,1.8028092684344301,0.9125,0.9118016232056517,0.22919481696314953,0.61875,0.600963560334528,1.5736144503407559,2.8234575421141925,0.825,0.3712013705982827,0.8279874213836479,0.4,0.37513833992094864,1.2261280793958576
75,75,1.6353739787851738,0.91875,0.9180077742837177,0.2180378630084306,0.675,0.6661335017012171,1.4173361091960033,2.8466369680536445,0.85,0.39984344799886457,0.8514722698684963,0.475,0.4611168524396545,1.223396740827593
76,76,1.639746594880944,0.88125,0.8800653197013956,0.2789572330156943,0.65,0.6390129693373467,1.3607893631074148,2.6533908403100215,0.85,0.3988331647735322,0.854895104895105,0.475,0.4714285714285714,1.1272788366579334
77,77,1.6681566705727164,0.89375,0.8919430168846058,0.24463934445916494,0.6375,0.62495982875909,1.4235173279568698,2.7664432690275134,0.825,0.4153007041400997,0.8327365728900255,0.5,0.4741731698253437,1.1755712800557376
78,78,1.6494953510218693,0.91875,0.9153411076170512,0.20880188792199875,0.63125,0.613887129470468,1.4406934630167598,2.3909616864752024,0.825,0.38453188266721555,0.8293617614269788,0.475,0.4537037037037037,1.0032148984959348
79,79,1.5255566635596551,0.9,0.8998059321694963,0.25904212316113445,0.725,0.7124107424131051,1.2665145374738132,2.839486064267112,0.8,0.39284512721933423,0.8062062937062937,0.425,0.4325396825396825,1.2233204752526945
80,80,1.697877685952926,0.9,0.8991305566129508,0.1897778903541166,0.6375,0.6191404253377145,1.5080997976011077,2.7747747196350248,0.825,0.3584064993396169,0.8279874213836479,0.575,0.5425889328063241,1.2081841208739206
81,81,1.6448964832903585,0.9125,0.9131635370460529,0.18721587721738614,0.625,0.6115906954887218,1.4576806040568044,2.7370351070043397,0.8,0.377217902027769,0.8062062937062937,0.525,0.5092357910906298,1.1799086056402301
82,82,1.671519534343497,0.89375,0.8917805164319251,0.24217521557084182,0.6375,0.6111193693693695,1.4293443256477985,2.6383521679556,0.775,0.39567289799888383,0.7845268542199489,0.4,0.40601599784902864,1.1213396352599374
83,83,1.8013768282853788,0.8875,0.8858059321694964,0.3098468018853161,0.6125,0.6088026834445119,1.4915300290526148,2.5695378971955507,0.8,0.3975104915502016,0.8062062937062937,0.525,0.49808621330360464,1.0860137084368033
84,84,1.5940530720767128,0.90625,0.9065944151130176,0.2298742295994515,0.65625,0.6478887424127386,1.3641788471682958,2.6304661577916706,0.8,0.40711651197634635,0.8032732990280159,0.425,0.4083333333333334,1.1116748162719887
85,85,1.5860641339624635,0.91875,0.9189356303418803,0.23669723127724182,0.65625,0.6435673421560517,1.3493669010034863,2.7270602783028153,0.85,0.358294401562307,0.854895104895105,0.45,0.44871794871794873,1.1843829332770839
